asset_id,fecha,cierre,market_data_id
AE38,15-09-07,6150,0
AE38,15-09-08,6190,0
AE38,15-09-09,6260,0
AE38,15-09-10,6270,0
AE38,15-09-11,6190,0
AE38,15-09-14,6124.5,0
AE38,15-09-15,5950,0
AE38,15-09-16,5810,0
AE38,15-09-17,5600,0
AE38,15-09-18,5745,0
AE38,15-09-21,5800,0
AE38,15-09-22,5775,0
AE38,15-09-23,5874,0
AE38,15-09-24,5717.5,0
AE38,15-09-25,5769,0
AE38,15-09-28,5829.5,0
AE38,15-09-29,5865,0
AE38,15-09-30,5920,0
AE38,15-10-01,5979.5,0
AE38,15-10-02,6017,0
AE38,15-10-05,5980,0
AE38,15-10-06,5830,0
AE38,15-10-07,5830,0
AE38,15-10-08,5880,0
AE38,15-10-09,6020,0
AE38,15-10-13,6065,0
AE38,15-10-14,6135,0
AE38,15-10-15,6225,0
AE38,15-10-16,6095,0
AE38,15-10-19,6031,0
AE38,15-10-20,6030,0
AE38,15-10-21,6099,0
AE38,15-10-22,6099,0
AE38,15-10-23,5905,0
AE38,15-10-26,5635,0
AE38,15-10-27,5530,0
AE38,15-10-28,5300,0
AE38,15-10-29,5245,0
AE38,15-10-30,5183,0
AE38,15-11-02,5189,0
AE38,15-11-03,5280,0
AE38,15-11-04,5300,0
AE38,15-11-05,5335,0
AE38,15-11-06,5347,0
AE38,15-11-09,5401,0
AE38,15-11-10,5500,0
AE38,15-11-11,5690,0
AE38,15-11-12,5560,0
AE38,15-11-13,5631,0
AE38,15-11-16,5720,0
AE38,15-11-17,5729,0
AE38,15-11-18,5780,0
AE38,15-11-19,5744,0
AE38,15-11-20,5690,0
AE38,15-11-24,5590,0
AE38,15-11-25,5502,0
AE38,15-11-26,5530,0
AE38,15-11-27,5475,0
AE38,15-11-30,5370.5,0
AE38,15-12-01,5400,0
AE38,15-12-02,5385,0
AE38,15-12-03,5265,0
AE38,15-12-04,5235,0
AE38,15-12-09,5180,0
AE38,15-12-10,5160,0
AE38,15-12-11,5210,0
AE38,15-12-14,5250,0
AE38,15-12-15,5276,0
AE38,15-12-16,5270,0
AE38,15-12-17,5350,0
AE38,15-12-18,5450,0
AE38,15-12-21,5365,0
AE38,15-12-22,5400,0
AE38,15-12-23,5455,0
AE38,15-12-28,5530,0
AE38,15-12-29,5470,0
AE38,15-12-30,5385,0
AE38,21-01-04,5357,0
AE38,21-01-05,5390,0
AE38,21-01-06,5425,0
AE38,21-01-07,5470,0
AE38,21-01-08,5430,0
AE38,21-01-11,5360,0
AE38,21-01-12,5330,0
AE38,21-01-13,5255,0
AE38,21-01-14,5190,0
AE38,21-01-15,5220,0
AE38,21-01-18,5230,0
AE38,21-01-19,5275,0
AE38,21-01-20,5308.5,0
AE38,21-01-21,5275,0
AE38,21-01-22,5326,0
AE38,21-01-25,5380,0
AE38,21-01-26,5405,0
AE38,21-01-27,5435,0
AE38,21-01-28,5475,0
AE38,21-01-29,5451,0
AE38,21-02-01,5463,0
AE38,21-02-02,5474.5,0
AE38,21-02-03,5415,0
AE38,21-02-04,5400,0
AE38,21-02-05,5394,0
AE38,21-02-08,5394,0
AE38,21-02-09,5342,0
AE38,21-02-10,5322,0
AE38,21-02-11,5220,0
AE38,21-02-12,5150,0
AE38,21-02-17,4955,0
AE38,21-02-18,4900,0
AE38,21-02-19,4825,0
AE38,21-02-22,4745,0
AE38,21-02-23,4708,0
AE38,21-02-24,4810,0
AE38,21-02-25,4920,0
AE38,21-02-26,4970,0
AE38,21-03-01,5057,0
AE38,21-03-02,4960,0
AE38,21-03-03,4905,0
AE38,21-03-04,4939,0
AE38,21-03-05,4860,0
AE38,21-03-08,4860,0
AE38,21-03-09,4769.5,0
AE38,21-03-10,4579,0
AE38,21-03-11,4615,0
AE38,21-03-12,4715,0
AE38,21-03-15,4850,0
AE38,21-03-16,4910,0
AE38,21-03-17,4950,0
AE38,21-03-18,4920,0
AE38,21-03-19,4955,0
AE38,21-03-22,5014,0
AE38,21-03-23,5089,0
AE38,21-03-25,4900,0
AE38,21-03-26,4830,0
AE38,21-03-29,4740,0
AE38,21-03-30,4739,0
AE38,21-03-31,4820,0
AE38,21-04-05,4789,0
AE38,21-04-06,4840,0
AE38,21-04-07,4829,0
AE38,21-04-08,4801.5,0
AE38,21-04-09,4775,0
AE38,21-04-12,4800,0
AE38,21-04-13,4826,0
AE38,21-04-14,4829,0
AE38,21-04-15,4790,0
AE38,21-04-16,4800,0
AE38,21-04-19,4840,0
AE38,21-04-20,4874,0
AE38,21-04-21,4900,0
AE38,21-04-22,4940,0
AE38,21-04-23,4988,0
AE38,21-04-26,5097.5,0
AE38,21-04-27,5120,0
AE38,21-04-28,5215,0
AE38,21-04-29,5230,0
AE38,21-04-30,5225,0
AE38,21-05-03,5190,0
AE38,21-05-04,5224,0
AE38,21-05-05,5210,0
AE38,21-05-06,5180,0
AE38,21-05-07,5155,0
AE38,21-05-10,5115,0
AE38,21-05-11,5065,0
AE38,21-05-12,5109,0
AE38,21-05-13,5160,0
AE38,21-05-14,5319.5,0
AE38,21-05-17,5450,0
AE38,21-05-18,5450,0
AE38,21-05-19,5530,0
AE38,21-05-20,5580,0
AE38,21-05-21,5589,0
AE38,21-05-26,5779,0
AE38,21-05-27,5865,0
AE38,21-05-28,5804.5,0
AE38,21-05-31,5802,0
AE38,21-06-01,5940,0
AE38,21-06-02,6090,0
AE38,21-06-03,6000,0
AE38,21-06-04,5950,0
AE38,21-06-07,6020,0
AE38,21-06-08,6033,0
AE38,21-06-09,6080,0
AE38,21-06-10,6079,0
AE38,21-06-11,6120,0
AE38,21-06-14,6080,0
